Unit: dimensionless (share of vehicles),LDVs,HDVs,aircraft,rail,ships,motorbikes
Austria,0.018853969,0.019848364,0.111210362,0.053857853,0,0.029509057
Belgium,0.032725338,0.021502922,0.022331398,0.020616016,0.082803701,0.022072861
Bulgaria,0.00113383,0.032812242,0.011612327,0.012728889,0.008828537,0.001264119
Croatia,0.00651763,0.003245724,0.002679768,0.008574203,0.006781923,0.002871035
Cyprus,0.00405096,0.000526162,0,0,0.002365787,0.002010156
Czechia,0.016991179,0.093675909,0.029477445,0.039768365,0,0.019978085
Denmark,0.013805422,0.029072053,0.032603841,0.005371936,0.028217076,0.002731153
Estonia,0.003898108,0.001635541,0.007146047,0.003124518,0.009576626,0.001326289
Finland,0.019640855,0.021179618,0.007592675,0.021487745,0.030191294,0.003281183
France,0.187804791,0.102595311,0.071013845,0.085722595,0.081189162,0.177056935
Germany,0.117690538,0.198489978,0.23849933,0.312541734,0.080203202,0.188120564
Greece,0.002955192,0.097371724,0.010719071,0.000807181,0.049038014,0.048062418
Hungary,0.019250515,0.005660999,0.012952211,0.027578855,0,0.004553936
Ireland,0.013151942,0.005077783,0.025904422,0.000196801,0.015364545,0.002377131
Italy,0.145442771,0.046955232,0.03930326,0.059113167,0.137332294,0.234053668
Latvia,0.00246894,0.0021934,0.005806163,0.01800364,0.013236055,0.001238215
Lithuania,0.002754743,0.003987423,0.002679768,0.017918603,0.011495686,0.001363418
Luxembourg,0.001549595,0.002174382,0.036623493,0.00040575,0,0.002044695
Malta,0.001518684,0.000202858,0.104064314,0,0.001404246,0.004020312
Netherlands,0.037450322,0.021477565,0.019205002,0.017435104,0.169511596,0.013365639
Poland,0.112544264,0.107527291,0.02635105,0.144092292,0.03417478,0.020645547
Portugal,0.049014077,0.007169754,0.062081286,0.005320914,0.024426358,0.032848092
Romania,0.034233844,0,0.005359536,0.032372537,0.017311759,0.006716063
Slovakia,0.000875949,0.08692455,0.006252791,0.019043526,0,0.006110771
Slovenia,0.000321481,0.015398172,0.006699419,0.011973271,0.006431436,0.004526305
Spain,0.130394138,0.040793427,0.075480125,0.025671587,0.140687202,0.157405241
Sweden,0.022960924,0.032501617,0.02635105,0.056272916,0.049428721,0.010447113
subregion28,0,0,0,0,0,0
subregion29,0,0,0,0,0,0
subregion30,0,0,0,0,0,0
subregion31,0,0,0,0,0,0
subregion32,0,0,0,0,0,0
subregion33,0,0,0,0,0,0
subregion34,0,0,0,0,0,0
subregion35,0,0,0,0,0,0
subregion36,0,0,0,0,0,0
subregion37,0,0,0,0,0,0
subregion38,0,0,0,0,0,0
subregion39,0,0,0,0,0,0
subregion40,0,0,0,0,0,0
subregion41,0,0,0,0,0,0
subregion42,0,0,0,0,0,0
subregion43,0,0,0,0,0,0
subregion44,0,0,0,0,0,0
subregion45,0,0,0,0,0,0
subregion46,0,0,0,0,0,0
subregion47,0,0,0,0,0,0
subregion48,0,0,0,0,0,0
subregion49,0,0,0,0,0,0
subregion50,0,0,0,0,0,0
subregion51,0,0,0,0,0,0
subregion52,0,0,0,0,0,0
subregion53,0,0,0,0,0,0
subregion54,0,0,0,0,0,0
subregion55,0,0,0,0,0,0
subregion56,0,0,0,0,0,0
subregion57,0,0,0,0,0,0
subregion58,0,0,0,0,0,0
subregion59,0,0,0,0,0,0
subregion60,0,0,0,0,0,0
