Unit: dimensionless (share of vehicles),LDVs,HDVs,aircraft,rail,ships,motorbikes
Austria,0.024688695,0.029416642,0,0,0,0.030848154
Belgium,0.039444073,0.031340165,0,0,0,0.039157157
Bulgaria,0.002526184,0.006732332,0,0,0,0.002520668
Croatia,0.004624182,0.003946539,0,0,0,0.003886087
Cyprus,0.001093784,0.000663284,0,0,0,0.001091396
Czech Republic,0.021298726,0.033363181,0,0,0,0.01242494
Denmark,0.01907986,0.021092429,0,0,0,0.019038195
Estonia,0.002299582,0.008921169,0,0,0,0.000962931
Finland,0.01013902,0.012668723,0,0,0,0.00650532
France,0.170801113,0.227406892,0,0,0,0.220315706
Germany,0.269959165,0.214705004,0,0,0,0.146557178
Greece,0.010389713,0.015056545,0,0,0,0.030190673
Hungary,0.01255216,0.033495838,0,0,0,0.003108717
Ireland,0.0107761,0.014724903,0,0,0,0.001482196
Italy,0.150102094,0.115908865,0,0,0,0.193078733
Latvia,0.001476773,0.006931317,0,0,0,0.001382925
Lithuania,0.003229772,0.004543495,0,0,0,0.000677335
Luxembourg,0.004568278,0.005538421,0,0,0,0.001899899
Malta,0.00132574,0.00703081,0,0,0,0.003506565
Netherlands,0.033236766,0.011209498,0,0,0,0.058583774
Poland,0.045984127,0.04497065,0,0,0,0.02922087
Portugal,0.015096876,0.019434219,0,0,0,0.024492504
Romania,0.012478857,0.0237124,0,0,0,0.001662411
Slovakia,0.007793623,0.01754386,0,0,0,0.004645894
Slovenia,0.005558284,0.003250091,0,0,0,0.005054433
Spain,0.088486656,0.062249196,0,0,0,0.149493316
Sweden,0.030989793,0.024143535,0,0,0,0.008212022
subregion28,0,0,0,0,0,0
subregion29,0,0,0,0,0,0
subregion30,0,0,0,0,0,0
subregion31,0,0,0,0,0,0
subregion32,0,0,0,0,0,0
subregion33,0,0,0,0,0,0
subregion34,0,0,0,0,0,0
subregion35,0,0,0,0,0,0
subregion36,0,0,0,0,0,0
subregion37,0,0,0,0,0,0
subregion38,0,0,0,0,0,0
subregion39,0,0,0,0,0,0
subregion40,0,0,0,0,0,0
subregion41,0,0,0,0,0,0
subregion42,0,0,0,0,0,0
subregion43,0,0,0,0,0,0
subregion44,0,0,0,0,0,0
subregion45,0,0,0,0,0,0
subregion46,0,0,0,0,0,0
subregion47,0,0,0,0,0,0
subregion48,0,0,0,0,0,0
subregion49,0,0,0,0,0,0
subregion50,0,0,0,0,0,0
subregion51,0,0,0,0,0,0
subregion52,0,0,0,0,0,0
subregion53,0,0,0,0,0,0
subregion54,0,0,0,0,0,0
subregion55,0,0,0,0,0,0
subregion56,0,0,0,0,0,0
subregion57,0,0,0,0,0,0
subregion58,0,0,0,0,0,0
subregion59,0,0,0,0,0,0
subregion60,0,0,0,0,0,0
