Year,heating,cooling & ventilation,envelope,lighting,appliances,other,,
electricity (BTU),1.31984E+14,1.81498E+13,0,2.1728E+13,3.8094E+14,1.82442E+14,,
coal (BTU),8.77367E+13,0,0,0,1.89556E+13,0,,
natural gas (BTU),6.40941E+14,0,0,0,2.44026E+14,0,,
petroleum diesel (BTU),2.58259E+14,0,0,0,5.07216E+13,0,,
heat (BTU),2.34486E+14,0,0,0,4.16553E+13,0,,
biomass (BTU),4.53228E+14,0,0,0,7.8847E+13,0,,
kerosene (BTU),0,0,0,0,0,0,,
heavy or residual fuel oil (BTU),0,0,0,0,0,0,,
LPG propane or butane (BTU),1.20713E+13,0,0,0,5.60092E+13,0,,
hydrogen (BTU),0,0,0,0,0,0,,
